ms12,ms16,r12,r16
Married or pacsed couple,Married or pacsed couple,45269.797,44901.957
Married or pacsed couple,Married or pacsed couple,53219.371,53882.344
Married or pacsed couple,Married or pacsed couple,28511.053,24083.531
Married or pacsed couple,Married or pacsed couple,45567.648,41922.262
Married or pacsed couple,Married or pacsed couple,35903.629,35604.016
Isolated parent,Isolated parent,22714.393,20961.131
Married or pacsed couple,Married or pacsed couple,51292.195,50888.879
Married or pacsed couple,Married or pacsed couple,47670.766,48909.313
Married or pacsed couple,Married or pacsed couple,68746.531,58809.141
Married or pacsed couple,Married or pacsed couple,54681.176,60902.57
Married or pacsed couple,Married or pacsed couple,59301.582,68849.664
Isolated parent,Cohabitant,39403.941,51026.156
Married or pacsed couple,Married or pacsed couple,13797.964,38269.613
Isolated parent,Isolated parent,12829.318,11726.306
Married or pacsed couple,Married or pacsed couple,61277.035,49057.43
Married or pacsed couple,Married or pacsed couple,14826.843,23452.611
Married or pacsed couple,Married or pacsed couple,25553.693,34935.219
Married or pacsed couple,Married or pacsed couple,18455.445,14172.312
Married or pacsed couple,Isolated parent,29102.816,26559.957
Married or pacsed couple,Married or pacsed couple,83630.438,97287.563
Married or pacsed couple,Married or pacsed couple,61691.586,67669.516
Married or pacsed couple,Married or pacsed couple,142230.45,140002.2
Isolated parent,Isolated parent,38500.965,38100.648
Married or pacsed couple,Married or pacsed couple,30908.344,34935.219
Married or pacsed couple,Married or pacsed couple,54681.176,26550.77
Married or pacsed couple,Married or pacsed couple,60913.605,63385.547
Married or pacsed couple,Cohabitant,21294.744,31891.346
Married or pacsed couple,Married or pacsed couple,46830.824,36984.277
Married or pacsed couple,Married or pacsed couple,31220.549,34935.219
Married or pacsed couple,Married or pacsed couple,36594.324,48923.465
Married or pacsed couple,Married or pacsed couple,69945.461,54736.254
Cohabitant,Cohabitant,26537.467,47218.441
Married or pacsed couple,Married or pacsed couple,82223.867,99480.578
Married or pacsed couple,Married or pacsed couple,26947.066,27060.705
Married or pacsed couple,Married or pacsed couple,49673.223,
Married or pacsed couple,Married or pacsed couple,46830.824,56875.809
Married or pacsed couple,Married or pacsed couple,56083.258,39061.898
Married or pacsed couple,Isolated parent,51359.242,21648.563
Married or pacsed couple,Married or pacsed couple,33694.879,14036.795
Married or pacsed couple,Married or pacsed couple,,130308.36
Married or pacsed couple,Married or pacsed couple,68746.531,58809.141
Married or pacsed couple,Married or pacsed couple,,99480.578
Married or pacsed couple,Married or pacsed couple,38841.879,30965.699
Married or pacsed couple,Married or pacsed couple,45092.352,54135.617
Married or pacsed couple,Married or pacsed couple,35976.906,35355.344
Married or pacsed couple,Married or pacsed couple,29978.043,26788.73
Married or pacsed couple,Married or pacsed couple,12762.648,41642.781
Married or pacsed couple,Isolated parent,106438.74,60244.234
Married or pacsed couple,Married or pacsed couple,,37730.035
Married or pacsed couple,Married or pacsed couple,55978.98,62862.734
Married or pacsed couple,Married or pacsed couple,35876.215,35604.016
Married or pacsed couple,Married or pacsed couple,51292.195,58372.539
,Married or pacsed couple,,57992.027
Married or pacsed couple,Married or pacsed couple,97135.039,75199.539
Married or pacsed couple,Married or pacsed couple,17035.795,30742.992
Married or pacsed couple,Married or pacsed couple,,156370.03
Married or pacsed couple,Married or pacsed couple,33669.945,27080.742
Married or pacsed couple,Married or pacsed couple,41922.234,37730.035
Isolated parent,Isolated parent,12697.732,15623.505
Married or pacsed couple,Married or pacsed couple,55978.98,49539.137
Married or pacsed couple,Married or pacsed couple,72871.328,54135.617
,Isolated parent,,33142.461
Married or pacsed couple,Married or pacsed couple,59301.582,43319.668
Married or pacsed couple,Married or pacsed couple,53219.371,54736.254
Married or pacsed couple,Married or pacsed couple,42062.445,48909.313
Married or pacsed couple,Married or pacsed couple,34805.813,34835.313
Married or pacsed couple,Married or pacsed couple,44911.777,41256.848
Married or pacsed couple,Cohabitant,19829.805,11993.155
Married or pacsed couple,Married or pacsed couple,71207.133,74836.594
Married or pacsed couple,Married or pacsed couple,132546.56,156879.91
Married or pacsed couple,Married or pacsed couple,39572.047,41908.488
Married or pacsed couple,Married or pacsed couple,64621.738,67175.547
Married or pacsed couple,Married or pacsed couple,31220.549,40411.758
Married or pacsed couple,Married or pacsed couple,95469.313,96083.148
Married or pacsed couple,Married or pacsed couple,71466.008,71843.125
Married or pacsed couple,Married or pacsed couple,22714.393,41922.262
Married or pacsed couple,Married or pacsed couple,38589.055,43581.441
Married or pacsed couple,Isolated parent,39522.363,
Married or pacsed couple,Married or pacsed couple,68746.531,64962.738
Married or pacsed couple,Married or pacsed couple,56083.258,67669.516
Cohabitant,Cohabitant,96245.141,24337.934
Married or pacsed couple,Married or pacsed couple,62653.988,58410.227
Married or pacsed couple,Married or pacsed couple,69615.547,85656.148
Isolated parent,Cohabitant,20633.814,19102.262
Married or pacsed couple,Married or pacsed couple,56083.258,54135.617
Cohabitant,Cohabitant,46192.563,49544.039
Married or pacsed couple,Married or pacsed couple,25285.713,41908.488
Married or pacsed couple,Married or pacsed couple,56260.477,41811.879
Married or pacsed couple,Married or pacsed couple,42176.539,37496.414
Married or pacsed couple,Married or pacsed couple,76027.672,74836.594
Isolated parent,Cohabitant,48504.723,92030.547
Married or pacsed couple,Isolated parent,15551.482,37730.035
Married or pacsed couple,Married or pacsed couple,91233.211,54736.254
Cohabitant,Cohabitant,54827.738,59051.301
Married or pacsed couple,Married or pacsed couple,34908.711,17715.391
Married or pacsed couple,Married or pacsed couple,9537.1045,22358.541
Married or pacsed couple,Married or pacsed couple,,41811.879
Married or pacsed couple,Married or pacsed couple,46830.824,36984.277
Married or pacsed couple,Married or pacsed couple,,42627.84
Married or pacsed couple,Married or pacsed couple,48730.887,23452.611
Married or pacsed couple,Married or pacsed couple,44866.609,44717.082
Married or pacsed couple,Married or pacsed couple,15551.482,13279.556
Married or pacsed couple,Married or pacsed couple,64503.945,50649.559
Married or pacsed couple,Married or pacsed couple,35903.629,37496.414
Married or pacsed couple,Married or pacsed couple,35876.215,44901.957
Married or pacsed couple,Married or pacsed couple,29659.521,54736.254
Married or pacsed couple,Married or pacsed couple,46830.824,44901.957
Married or pacsed couple,Married or pacsed couple,46830.824,47895.418
Cohabitant,Cohabitant,,15623.505
Married or pacsed couple,Married or pacsed couple,98157.93,94221.773
Married or pacsed couple,Married or pacsed couple,44909.441,48474.848
Married or pacsed couple,Married or pacsed couple,18430.184,31715.715
Married or pacsed couple,Married or pacsed couple,43464.523,47511.895
Married or pacsed couple,Married or pacsed couple,53219.371,52385.609
Married or pacsed couple,Isolated parent,27893.064,28864.754
Married or pacsed couple,Married or pacsed couple,25553.693,22961.771
Married or pacsed couple,Married or pacsed couple,69615.547,68524.922
Married or pacsed couple,Isolated parent,10263.455,30932.965
Married or pacsed couple,Married or pacsed couple,56260.477,59869.273
Married or pacsed couple,Married or pacsed couple,50312.219,59051.301
Married or pacsed couple,Married or pacsed couple,,59869.273
Married or pacsed couple,Married or pacsed couple,35832.656,38666.203
Married or pacsed couple,Married or pacsed couple,,6249.3462
Married or pacsed couple,Married or pacsed couple,56260.477,64359.469
Married or pacsed couple,Married or pacsed couple,82495.828,64167.742
Married or pacsed couple,Married or pacsed couple,125881.27,170576.25
Married or pacsed couple,Married or pacsed couple,37155.156,27515.602
Cohabitant,Cohabitant,31232.291,44647.891
Married or pacsed couple,Married or pacsed couple,53219.371,59869.273
Married or pacsed couple,Married or pacsed couple,51292.195,59869.273
Cohabitant,Isolated parent,38301.336,25513.078
Married or pacsed couple,Married or pacsed couple,31717.99,31891.346
Married or pacsed couple,Married or pacsed couple,51325.078,38269.613
Married or pacsed couple,Married or pacsed couple,39025.684,46114.488
Married or pacsed couple,Married or pacsed couple,27579.549,46114.488
Married or pacsed couple,Married or pacsed couple,68424.906,74836.594
Married or pacsed couple,Married or pacsed couple,28114.051,43319.668
Married or pacsed couple,Married or pacsed couple,60822.133,44901.957
Married or pacsed couple,Married or pacsed couple,69945.461,68849.664
Married or pacsed couple,Isolated parent,47604.438,37496.414
Cohabitant,Married or pacsed couple,23236.824,33142.461
Married or pacsed couple,Married or pacsed couple,60802.957,58809.141
Married or pacsed couple,Married or pacsed couple,65996.672,67669.516
Married or pacsed couple,Isolated parent,47604.438,37496.414
Married or pacsed couple,Married or pacsed couple,43814.035,42956.199
Isolated parent,Isolated parent,19060.701,21648.563
Married or pacsed couple,Married or pacsed couple,60913.605,68524.922
Cohabitant,Isolated parent,68746.531,32472.846
Married or pacsed couple,Married or pacsed couple,24979.045,16583.5
Married or pacsed couple,Married or pacsed couple,60822.133,52347.227
Married or pacsed couple,Married or pacsed couple,32398.92,39127.449
Married or pacsed couple,Married or pacsed couple,24134.043,22358.541
Married or pacsed couple,Married or pacsed couple,12697.732,12482.26
Isolated parent,Isolated parent,,32576.781
Married or pacsed couple,Married or pacsed couple,48371.809,8369.7773
Married or pacsed couple,Married or pacsed couple,75621.188,64167.742
Isolated parent,Isolated parent,7777.3608,15623.505
Married or pacsed couple,Married or pacsed couple,19558.34,22093.705
Married or pacsed couple,Married or pacsed couple,41886.547,48228.203
Married or pacsed couple,Married or pacsed couple,78541.953,65098.68
Married or pacsed couple,Married or pacsed couple,37464.66,40411.758
Married or pacsed couple,Married or pacsed couple,60289.5,54327.195
Married or pacsed couple,Married or pacsed couple,49952.875,36332.629
Married or pacsed couple,Married or pacsed couple,50471.273,37884.988
Married or pacsed couple,Married or pacsed couple,104423.33,50649.559
Married or pacsed couple,Married or pacsed couple,73096.32,110758.16
Married or pacsed couple,Married or pacsed couple,45768.594,48909.313
Married or pacsed couple,Married or pacsed couple,53546.598,18741.086
Married or pacsed couple,Married or pacsed couple,34097.766,18581.686
Married or pacsed couple,Married or pacsed couple,62342.691,74836.594
Married or pacsed couple,Married or pacsed couple,66777.328,96083.148
Married or pacsed couple,Married or pacsed couple,49072.848,41922.262
Isolated parent,Cohabitant,13562.422,8369.7773
Married or pacsed couple,Married or pacsed couple,42147.742,52347.227
Married or pacsed couple,Married or pacsed couple,49072.848,60902.57
Married or pacsed couple,Married or pacsed couple,37464.66,39127.449
Married or pacsed couple,Cohabitant,12585.746,18480.662
Married or pacsed couple,Married or pacsed couple,58887.418,68392.914
Married or pacsed couple,Married or pacsed couple,,60401.676
Married or pacsed couple,Married or pacsed couple,71207.133,96083.148
Isolated parent,Cohabitant,27215.094,49233.891
Married or pacsed couple,Married or pacsed couple,54827.738,48908.383
Married or pacsed couple,Married or pacsed couple,93169.844,113739.12
Married or pacsed couple,Married or pacsed couple,46268.688,32140.4
Married or pacsed couple,Married or pacsed couple,46830.824,41675.512
Married or pacsed couple,Married or pacsed couple,59800.41,62175.367
Married or pacsed couple,Married or pacsed couple,54739.922,48228.203
Married or pacsed couple,Isolated parent,31232.291,24997.609
